2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Property ID,Property Id,Property Id,Property Id,Property Id,Property Id,Property Id,Property Id,Property Id,Property Id,Property Id
Property Name,Property Name,Property Name,Property Name,Property Name,Property Name,Property Name,Property Name,Property Name,Property Name,Property Name
Parent Property ID,Parent Property Id,Parent Property Id,Parent Property Id,Parent Property Id,Parent Property Id,Parent Property Id,Parent Property Id,Parent Property Id,Parent Property Id,Parent Property Id
Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name,Parent Property Name
Year Ending,Year Ending,Year Ending,Year Ending,Year Ending,Year Ending,Year Ending,Year Ending,Year Ending,Year Ending,Year Ending
"NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)","NYC Borough, Block and Lot (BBL)",BBL
NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),NYC Building Identification Number (BIN),BIN
Address 1,Address 1,Address 1,Address 1,Address 1,Address 1,Address 1,Address 1,Address 1,Address 1,Address 1
City,City,City,City,City,City,City,City,City,City,City
Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected,Primary Property Type - Self Selected
Primary Property Type - Portfolio Manager-Calculated,Primary Property Type - Portfolio Manager-Calculated,Primary Property Type - Portfolio Manager-Calculated,Primary Property Type - Portfolio Manager-Calculated,Primary Property Type - Portfolio Manager-Calculated,Primary Property Type - Portfolio Manager-Calculated,Primary Property Type - Portfolio Manager-Calculated,Primary Property Type - EPA Calculated,Primary Property Type - EPA Calculated,Primary Property Type - EPA Calculated,Primary Property Type - EPA Calculated
National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type,National Median Reference Property Type
List of All Property Use Types (GFA) (ft²),List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property,List of All Property Use Types at Property
Year Built,Year Built,Year Built,Year Built,Year Built,Year Built,Year Built,Year Built,Year Built,Year Built,Year Built
Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings,Number of Buildings
Occupancy,Occupancy,Occupancy,Occupancy,Occupancy,Occupancy,Occupancy,Occupancy,Occupancy,Occupancy,Occupancy
